2025-12-31 21:03:05.267 [main] INFO  com.tju.elm.user.UserServiceApplication - Starting UserServiceApplication using Java 17.0.12 with PID 23016 (G:\LE\elm-microservices\elm_cloud\user-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 21:03:05.268 [main] INFO  com.tju.elm.user.UserServiceApplication - The following 1 profile is active: "dev"
2025-12-31 21:03:05.888 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 21:03:05.889 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 21:03:05.915 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2025-12-31 21:03:06.393 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2025-12-31 21:03:06.403 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 21:03:06.404 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 21:03:06.447 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 21:03:06.448 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1148 ms
2025-12-31 21:03:06.652 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2025-12-31 21:03:06.661 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-12-31 21:04:53.157 [main] INFO  com.tju.elm.user.UserServiceApplication - Starting UserServiceApplication using Java 17.0.12 with PID 23600 (G:\LE\elm-microservices\elm_cloud\user-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
