2025-12-31 17:21:00.033 [main] INFO  com.tju.elm.user.mapper.UserServiceApplication - Starting UserServiceApplication using Java 17.0.12 with PID 15256 (G:\LE\elm-microservices\elm_cloud\user-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 17:21:00.034 [main] INFO  com.tju.elm.user.mapper.UserServiceApplication - The following 1 profile is active: "dev"
2025-12-31 17:21:00.603 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 17:21:00.605 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 17:21:00.627 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2025-12-31 17:21:01.029 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2025-12-31 17:21:01.039 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 17:21:01.039 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 17:21:01.087 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 17:21:01.087 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1018 ms
2025-12-31 17:21:01.783 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2025-12-31 17:21:01.910 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path '/'
2025-12-31 17:21:01.918 [main] INFO  com.tju.elm.user.mapper.UserServiceApplication - Started UserServiceApplication in 2.365 seconds (process running for 2.938)
2025-12-31 17:21:14.662 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-31 17:21:14.756 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
